fantasymath_id,position,fleaflicker_id,espn_id,yahoo_id
matt-prater,K,4221,11122.0,8565.0
kyler-murray,QB,14664,3917315.0,31833.0
chase-edmonds,RB,13870,3119195.0,31104.0
james-conner,RB,12951,3045147.0,30218.0
jonathan-ward,RB,15816,4039274.0,33088.0
ross-travis,TE,11978,3936647.0,29208.0
darrell-daniels,TE,13208,3052166.0,30523.0
maxx-williams,TE,11191,2970726.0,28443.0
demetrius-harris,TE,9787,16318.0,27174.0
aj-green,WR,7369,13983.0,24791.0
greg-dortch,WR,14935,4037235.0,32523.0
isaac-whitney,WR,13594,3894883.0,30637.0
rondale-moore,WR,16327,4372485.0,33437.0
deandre-hopkins,WR,9311,15795.0,26650.0
christian-kirk,WR,13806,3895856.0,31017.0
younghoe-koo,K,13324,3049899.0,30426.0
matt-ryan,QB,5371,11237.0,8780.0
mike-davis,RB,11373,3025433.0,28514.0
cordarrelle-patterson,RB,9317,15807.0,26652.0
kyle-pitts,TE,16256,4360248.0,33392.0
hayden-hurst,TE,13774,3924365.0,30995.0
calvin-ridley,WR,13776,3925357.0,30996.0
russell-gage,WR,13967,3115378.0,31164.0
tyler-bass,K,15626,3917232.0,32858.0
josh-allen,QB,13761,3918298.0,30977.0
atl-dst,DST,2329,-16001.0,100001.0
matt-breida,RB,13358,3049916.0,30552.0
devin-singletary,RB,14736,4040761.0,31906.0
dawson-knox,TE,14734,3930086.0,31928.0
tommy-sweeney,TE,14894,3122818.0,32060.0
duke-williams,WR,12732,3115315.0,29973.0
isaiah-mckenzie,WR,13080,3128724.0,30285.0
stefon-diggs,WR,11329,2976212.0,28534.0
justin-fields,QB,16262,4362887.0,33399.0
cole-beasley,WR,8735,15349.0,26060.0
emmanuel-sanders,WR,6636,13295.0,24057.0
gabriel-davis,WR,15627,4243537.0,32798.0
ryan-santoso,K,14090,3040204.0,31643.0
sam-darnold,QB,13770,3912547.0,30973.0
chuba-hubbard,RB,16361,4241416.0,33514.0
spencer-brown-rb,RB,16487,,33724.0
christian-mccaffrey,RB,12892,3117251.0,30121.0
rodney-smith-rb,RB,11526,2512197.0,28718.0
ian-thomas,TE,13874,4045305.0,31071.0
tommy-tremble,TE,16314,4372780.0,33471.0
dan-arnold,TE,13665,4212989.0,30891.0
terrace-marshall,WR,16313,4362630.0,33447.0
robby-anderson,WR,12361,2574808.0,29785.0
alex-erickson,WR,12334,2977800.0,29703.0
dj-moore,WR,13764,3915416.0,30994.0
cairo-santos,K,10888,17427.0,28227.0
andy-dalton,QB,7404,14012.0,24822.0
lv-dst,DST,2350,-16013.0,100013.0
khalil-herbert,RB,16552,4035886.0,33605.0
damien-williams,RB,10924,17359.0,28115.0
david-montgomery,RB,14716,4035538.0,31905.0
cole-kmet,TE,15573,4258595.0,32713.0
jimmy-graham,TE,6610,13232.0,24070.0
marquise-goodwin,WR,9337,15839.0,26701.0
damiere-byrd,WR,11507,2577667.0,28730.0
darnell-mooney,WR,15658,4040655.0,32843.0
nsimba-webster,WR,15139,3119317.0,32137.0
allen-robinson,WR,10305,16799.0,27589.0
evan-mcpherson,K,16457,4360234.0,33537.0
jake-browning,QB,14906,3886812.0,32138.0
joe-burrow,QB,15532,3915511.0,32671.0
jacques-patrick,RB,15513,3693033.0,32669.0
samaje-perine,RB,13011,3116389.0,30227.0
cin-dst,DST,2334,-16004.0,100004.0
joe-mixon,RB,12975,3116385.0,30161.0
cj-uzomah,TE,11276,2574576.0,28545.0
tee-higgins,WR,15585,4239993.0,32703.0
jamarr-chase,WR,16250,4362628.0,33393.0
tyler-boyd,WR,12051,3045144.0,29288.0
mike-thomas,WR,12172,3123986.0,29440.0
johnny-stanton,RB,14498,3040499.0,31510.0
andy-janovich,RB,12192,2974317.0,29410.0
chase-mclaughlin,K,15412,3150744.0,32417.0
baker-mayfield,QB,13758,3052587.0,30971.0
demetric-felton,RB,16453,4035826.0,33599.0
tre-harbison,RB,16713,,33746.0
nick-chubb,RB,13802,3128720.0,31005.0
kareem-hunt,RB,12934,3059915.0,30199.0
harrison-bryant,TE,15644,4040774.0,32785.0
austin-hooper,TE,12069,3043275.0,29315.0
david-njoku,TE,12904,3123076.0,30142.0
jaquan-hardy,RB,16471,,33707.0
ryan-switzer,WR,12996,3039725.0,30246.0
jarvis-landry,WR,10307,16790.0,27591.0
donovan-peoples-jones,WR,15642,4258195.0,32857.0
anthony-schwartz,WR,16298,4371986.0,33479.0
greg-zuerlein,K,8608,14993.0,25881.0
cooper-rush,QB,13143,2972515.0,30788.0
dak-prescott,QB,12159,2577417.0,29369.0
tony-pollard,RB,14759,3916148.0,31960.0
ezekiel-elliott,RB,12025,3051392.0,29238.0
corey-clement,RB,13165,3045260.0,30707.0
ian-bunting,TE,15342,3115981.0,32250.0
blake-jarwin,TE,13216,2991767.0,30784.0
dalton-schultz,TE,13853,3117256.0,31107.0
cedrick-wilson,WR,13915,4036335.0,31178.0
amari-cooper,WR,11177,2976499.0,28392.0
michael-gallup,WR,13788,4036348.0,31051.0
ceedee-lamb,WR,15523,4241389.0,32687.0
brandon-mcmanus,K,9754,16339.0,27120.0
teddy-bridgewater,QB,10240,16728.0,27560.0
damarea-crockett,RB,15001,4035102.0,32502.0
melvin-gordon,RB,11180,2576434.0,28403.0
nate-mccrary,RB,16748,4820592.0,33793.0
javonte-williams,RB,16282,4361579.0,33423.0
eric-saubert,TE,13110,2975863.0,30287.0
noah-fant,TE,14665,4036131.0,31852.0
albert-okwuegbunam,TE,15716,4035115.0,32788.0
courtland-sutton,WR,13795,3128429.0,31010.0
hou-dst,DST,2340,-16034.0,100034.0
jerry-jeudy,WR,15544,4241463.0,32685.0
tim-patrick,WR,13209,3134353.0,30511.0
kj-hamler,WR,15608,4240380.0,32716.0
diontae-spencer,WR,11005,17463.0,28279.0
austin-seibert,K,14847,3821683.0,32002.0
jared-goff,QB,12102,3046779.0,29235.0
dandre-swift,RB,15601,4259545.0,32705.0
det-dst,DST,2338,-16008.0,100008.0
jamaal-williams,RB,13040,2980453.0,30247.0
tj-hockenson,TE,14677,4036133.0,31840.0
darren-fells,TE,9287,15773.0,26612.0
amonra-stbrown,WR,16373,4374302.0,33500.0
tyrell-williams,WR,11504,2587819.0,28691.0
quintez-cephus,WR,15703,4035793.0,32836.0
trinity-benson,WR,15069,4422214.0,32189.0
kalif-raymond,WR,12441,2973405.0,29631.0
mason-crosby,K,4715,10636.0,8447.0
aaron-rodgers,QB,3452,8439.0,7200.0
jordan-love,QB,15522,4036378.0,32696.0
patrick-taylor,RB,16024,4039358.0,33235.0
aaron-jones,RB,13111,3042519.0,30295.0
aj-dillon,RB,15568,4239934.0,32732.0
kylin-hill,RB,16542,4259805.0,33643.0
marcedes-lewis,TE,4007,9614.0,7777.0
dominique-dafney,TE,16212,4036129.0,33367.0
robert-tonyan,TE,13489,2975674.0,30777.0
randall-cobb,WR,7401,14053.0,24851.0
davante-adams,WR,10295,16800.0,27581.0
malik-taylor,WR,15203,4408988.0,32488.0
amari-rodgers,WR,16329,4239992.0,33473.0
allen-lazard,WR,14059,3128390.0,31268.0
marquez-valdesscantling,WR,13952,3051738.0,31144.0
juwann-winfree,WR,14826,3128317.0,32019.0
joey-slye,K,15366,3124084.0,32384.0
tyrod-taylor,QB,7592,14163.0,24967.0
mark-ingram,RB,7371,13981.0,24815.0
rex-burkhead,RB,9426,15971.0,26813.0
phillip-lindsay,RB,14063,3052117.0,31379.0
david-johnson,RB,11187,2508176.0,28474.0
jordan-akins,TE,13844,3128452.0,31068.0
pharaoh-brown,TE,13377,2971281.0,30627.0
danny-amendola,WR,5595,11674.0,9037.0
nico-collins,WR,16281,4258173.0,33477.0
chris-conley,WR,11217,2578533.0,28464.0
brandin-cooks,WR,10242,16731.0,27548.0
andre-roberts,WR,6634,13226.0,24063.0
rodrigo-blankenship,K,16124,3915165.0,33211.0
carson-wentz,QB,12032,2573079.0,29236.0
nyheim-hines,RB,13900,3916430.0,31074.0
jonathan-taylor,RB,15604,4242335.0,32711.0
jack-doyle,TE,9990,16504.0,27299.0
mo-alie-cox,TE,12887,2998565.0,30112.0
parris-campbell,WR,14692,3121410.0,31891.0
mike-strachan,WR,16620,4589245.0,33620.0
jj-nelson,WR,11254,2515759.0,28547.0
ashton-dulin,WR,15035,4061956.0,32292.0
zach-pascal,WR,13333,2978109.0,30502.0
michael-pittman,WR,15603,4035687.0,32704.0
josh-lambo,K,11498,2998120.0,28685.0
trevor-lawrence,QB,16242,4360310.0,33389.0
carlos-hyde,RB,10335,16777.0,27585.0
james-robinson,RB,16105,4052042.0,33138.0
dare-ogunbowale,RB,13581,2983509.0,30860.0
james-oshaughnessy,TE,11321,2508079.0,28561.0
chris-manhertz,TE,11114,2531358.0,28365.0
tyron-johnson,WR,15053,3894912.0,32511.0
jamal-agnew,WR,13024,3061612.0,30278.0
marvin-jones,WR,8429,15072.0,25876.0
devin-smith,WR,11231,2576395.0,28425.0
laviska-shenault,WR,15558,4243160.0,32712.0
dj-chark,WR,13790,3115394.0,31031.0
michael-burton,RB,11295,2515270.0,28556.0
harrison-butker,K,13124,3055899.0,30346.0
patrick-mahomes,QB,12894,3139477.0,30123.0
shane-buechele,QB,16702,,33879.0
derrick-gore,RB,15475,3925346.0,32630.0
darrel-williams,RB,14329,3115375.0,31500.0
clyde-edwards-helaire,RB,15539,4242214.0,32702.0
travis-kelce,TE,9360,15847.0,26686.0
blake-bell,TE,11371,2514206.0,28505.0
demarcus-robinson,WR,12106,3043116.0,29360.0
mecole-hardman,WR,14725,4035004.0,31888.0
chris-finke,WR,15942,,33196.0
byron-pringle,WR,14328,4036416.0,31496.0
tyreek-hill,WR,12197,3116406.0,29399.0
marcus-kemp,WR,13469,3046399.0,30682.0
matt-gay,K,14848,4249087.0,31977.0
matthew-stafford,QB,6038,12483.0,9265.0
bryce-perkins,QB,16012,3675812.0,33258.0
sony-michel,RB,13750,3128721.0,31001.0
otis-anderson-jr,RB,16766,,33930.0
darrell-henderson,RB,14751,4039359.0,31902.0
jake-funk,RB,16530,4036224.0,33621.0
tyler-higbee,TE,12140,2573401.0,29344.0
johnny-mundt,TE,13239,3052096.0,30373.0
robert-woods,WR,9338,15880.0,26664.0
ben-skowronek,WR,16526,4035656.0,33637.0
van-jefferson,WR,15564,3930066.0,32727.0
desean-jackson,WR,5324,11283.0,8826.0
cooper-kupp,WR,12970,2977187.0,30182.0
gabe-nabers,RB,16160,4035611.0,32987.0
tristan-vizcaino,K,14646,3127313.0,31808.0
justin-herbert,QB,15516,4038941.0,32676.0
