fantasymath_id,position,fleaflicker_id,espn_id,yahoo_id,sleeper_id
kyler-murray,QB,14664.0,3917315.0,31833.0,5849.0
patrick-mahomes,QB,12894.0,3139477.0,30123.0,4046.0
josh-allen,QB,13761.0,3918298.0,30977.0,4984.0
russell-wilson,QB,8598.0,14881.0,25785.0,1234.0
lamar-jackson,QB,13775.0,3916387.0,31002.0,4881.0
tom-brady,QB,309.0,2330.0,5228.0,167.0
aaron-rodgers,QB,3452.0,8439.0,7200.0,96.0
dak-prescott,QB,12159.0,2577417.0,29369.0,3294.0
justin-herbert,QB,15516.0,4038941.0,32676.0,6797.0
jalen-hurts,QB,15581.0,4040715.0,32723.0,6904.0
matthew-stafford,QB,6038.0,12483.0,9265.0,421.0
ryan-tannehill,QB,8514.0,14876.0,25718.0,1049.0
joe-burrow,QB,15532.0,3915511.0,32671.0,6770.0
baker-mayfield,QB,13758.0,3052587.0,30971.0,4892.0
kirk-cousins,QB,8625.0,14880.0,25812.0,1166.0
jameis-winston,QB,11183.0,2969939.0,28389.0,2306.0
ben-roethlisberger,QB,394.0,5536.0,6770.0,138.0
teddy-bridgewater,QB,10240.0,16728.0,27560.0,2152.0
matt-ryan,QB,5371.0,11237.0,8780.0,24.0
tua-tagovailoa,QB,15533.0,4241479.0,32675.0,6768.0
mac-jones,QB,16235.0,4241464.0,33403.0,7527.0
trevor-lawrence,QB,16242.0,4360310.0,33389.0,7523.0
sam-darnold,QB,13770.0,3912547.0,30973.0,4943.0
jimmy-garoppolo,QB,10311.0,16760.0,27590.0,1837.0
derek-carr,QB,10315.0,16757.0,27564.0,2028.0
tyrod-taylor,QB,7592.0,14163.0,24967.0,827.0
taylor-heinicke,QB,11615.0,2565969.0,28839.0,2711.0
jared-goff,QB,12102.0,3046779.0,29235.0,3163.0
carson-wentz,QB,12032.0,2573079.0,29236.0,3161.0
daniel-jones,QB,14668.0,3917792.0,31838.0,5870.0
zach-wilson,QB,16233.0,4361259.0,33390.0,7538.0
andy-dalton,QB,7404.0,14012.0,24822.0,829.0
chase-edmonds,RB,13870.0,3119195.0,31104.0,5000.0
james-conner,RB,12951.0,3045147.0,30218.0,4137.0
clyde-edwards-helaire,RB,15539.0,4242214.0,32702.0,6820.0
darrel-williams,RB,14329.0,3115375.0,31500.0,5549.0
jerick-mckinnon,RB,10310.0,16782.0,27624.0,2161.0
devin-singletary,RB,14736.0,4040761.0,31906.0,6130.0
matt-breida,RB,13358.0,3049916.0,30552.0,4455.0
