name,player_position,team_position,actual,start,team_id,fantasymath_id
Kyler Murray,QB,QB,,True,1605155,kyler-murray
Jamaal Williams,RB,RB1,,True,1605155,jamaal-williams
Jonathan Taylor,RB,RB2,,True,1605155,jonathan-taylor
Mike Williams,WR,WR1,,True,1605155,mike-williams-wr
Julio Jones,WR,WR2,,True,1605155,julio-jones
Sterling Shepard,WR,RB/WR/TE,8.5,True,1605155,sterling-shepard
T.J. Hockenson,TE,TE,,True,1605155,tj-hockenson
Justin Tucker,K,K,,True,1605155,justin-tucker
New England Patriots,D/ST,D/ST,,True,1605155,ne-dst
Kenneth Gainwell,RB,BN,,False,1605155,kenneth-gainwell
Saquon Barkley,RB,BN,6.8999996,False,1605155,saquon-barkley
AJ Dillon,RB,BN,,False,1605155,aj-dillon
Marvin Jones,WR,BN,,False,1605155,marvin-jones
Kyle Pitts,TE,BN,,False,1605155,kyle-pitts
Los Angeles Chargers,D/ST,BN,,False,1605155,lac-dst
Tampa Bay Buccaneers,D/ST,BN,,False,1605155,tb-dst
Jalen Hurts,QB,QB,,True,1605156,jalen-hurts
Clyde Edwards-Helaire,RB,RB1,,True,1605156,clyde-edwards-helaire
Najee Harris,RB,RB2,,True,1605156,najee-harris
Myles Gaskin,RB,RB/WR/TE,,True,1605156,myles-gaskin
Antonio Brown,WR,WR1,,True,1605156,antonio-brown
Davante Adams,WR,WR2,,True,1605156,davante-adams
George Kittle,TE,TE,,True,1605156,george-kittle
Greg Zuerlein,K,K,,True,1605156,greg-zuerlein
New Orleans Saints,D/ST,D/ST,,True,1605156,no-dst
Mac Jones,QB,BN,,False,1605156,mac-jones
Elijah Mitchell,RB,BN,,False,1605156,elijah-mitchell-rb
Ty'Son Williams,RB,BN,,False,1605156,tyson-williams
Javonte Williams,RB,BN,,False,1605156,javonte-williams
Christian Kirk,WR,BN,,False,1605156,christian-kirk
Jaylen Waddle,WR,BN,,False,1605156,jaylen-waddle
Arizona Cardinals,D/ST,BN,,False,1605156,ari-dst
Justin Herbert,QB,QB,,True,1605149,justin-herbert
Antonio Gibson,RB,RB1,7.3,True,1605149,antonio-gibson
Ezekiel Elliott,RB,RB2,,True,1605149,ezekiel-elliott
Kareem Hunt,RB,RB/WR/TE,,True,1605149,kareem-hunt
Tee Higgins,WR,WR1,,True,1605149,tee-higgins
Terry McLaurin,WR,WR2,16.7,True,1605149,terry-mclaurin
Mark Andrews,TE,TE,,True,1605149,mark-andrews
Robbie Gould,K,K,,True,1605149,robbie-gould
Pittsburgh Steelers,D/ST,D/ST,,True,1605149,pit-dst
Matt Ryan,QB,BN,,False,1605149,matt-ryan
Tony Pollard,RB,BN,,False,1605149,tony-pollard
Alexander Mattison,RB,BN,,False,1605149,alexander-mattison
Tim Patrick,WR,BN,,False,1605149,tim-patrick
Tyler Boyd,WR,BN,,False,1605149,tyler-boyd
Darnell Mooney,WR,BN,,False,1605149,darnell-mooney
Terrace Marshall,WR,BN,,False,1605149,terrace-marshall
Russell Wilson,QB,QB,,True,1605154,russell-wilson
Christian McCaffrey,RB,RB1,,True,1605154,christian-mccaffrey
James Robinson,RB,RB2,,True,1605154,james-robinson
Ronald Jones,RB,RB/WR/TE,,True,1605154,ronald-jones
A.J. Brown,WR,WR1,,True,1605154,aj-brown
Courtland Sutton,WR,WR2,,True,1605154,courtland-sutton
Robert Tonyan,TE,TE,,True,1605154,robert-tonyan
Aldrick Rosas,K,K,,True,1605154,aldrick-rosas
Washington Football Team,D/ST,D/ST,8.0,True,1605154,was-dst
Tua Tagovailoa,QB,BN,,False,1605154,tua-tagovailoa
Mark Ingram,RB,BN,,False,1605154,mark-ingram
Chuba Hubbard,RB,BN,,False,1605154,chuba-hubbard
D.J. Chark,WR,BN,,False,1605154,dj-chark
Michael Pittman,WR,BN,,False,1605154,michael-pittman
Odell Beckham,WR,BN,,False,1605154,
Evan Engram,TE,BN,,False,1605154,
Dak Prescott,QB,QB,,True,1664196,dak-prescott
Joe Mixon,RB,RB1,,True,1664196,joe-mixon
Mike Davis,RB,RB2,,True,1664196,mike-davis
Tyreek Hill,WR,WR1,,True,1664196,tyreek-hill
